;;;266,468,573,775,1300,1502,1607;;;0,78,765,832,895,962;;;;
;;;;;;;;137,357,392,612,879,1099,1134,1354,1621;138,240,787,889,1158,1260;
;;;158,197,1540,1562;120,160,736,1014,1256,1295;323,367,1139,1179,1486,1528;577,611;;;479,502,519,561;
288,446,593,751,1322,1480,1627;;157,197,1539,1562;;836,859;;743,793;1020,1104;;;
;;119,159,736,1014,1255,1294;834,860;;1610;;337,373,755,807,1430,1474;;339,383,631,675,1347,1391,1640;
;;322,366,1139,1179,1485,1527;;1610;;;83,113,1565,1601;;;
8,43;;576,611;742,793;;;;;1388,1453;1542,1593;
;;;1020,1104;337,373,755,806,1430,1474;83,113,1565,1601;;;;291,526,1314,1323,1592,1635;
;159,242,255,333,414,492,505,588,901,984,997,1075,1156,1234,1247,1330,1643;;;;;1388,1452;;;122,212,856,897,1111,1134;
;172,204,821,853,1192,1224;480,499,519,561;;338,383,631,675,1346,1391,1639;;1541,1593;290,525,1311,1322,1592,1635;122,212,855,897,1110,1135;;
