;;82,220,733,871,1028,1166,1679,1817;;;;;427,464,1311,1348;;;;;;
;;;;;;;;;;;31,146,360,416,557,613,827,942,997,1112,1326,1382,1523,1579,1793;;
121,139,144,188,763,807,812,830,1067,1085,1090,1134,1709,1753,1758,1776;;;;35,91,367,465,511,520,848,887,963,1012,1306,1398;;15,67,1137,1184;636,678,1547,1596;10,52,1614,1634;;279,323,987,1001,1534,1666;;377,423,1223,1277,1542,1583;
;;;;167,211,687,730,1058,1123,1153,1177,1578,1621;106,208,264,309,588,624,673,716,993,1121,1521,1649;146,190,806,830;;;;;;613,655,704,748;
;;35,90,367,465,848,886,963,1011,1307,1397;166,210,686,730,1058,1102,1153,1176,1578,1620;;173,281,592,791,1058,1100,1576,1618;0,247,529,664,997,1041,1526,1560;;0,29,824,869;1237,1285;993,1008,1178,1216,1471,1514;;371,430,645,760;
;;;106,208,264,308,587,624,673,716,992,1120,1520,1649;173,280,595,790,1058,1099,1576,1617;;146,179,563,588,861,937,1140,1292,1674,1715;;;;;;43,84,642,689,1298,1476;
;;15,67,1138,1183;145,189,805,830;0,242,529,663,997,1040,1525,1559;146,178,563,590,861,937,1130,1291,1674,1713;;1601,1695;0,40,1072,1132;;484,526,688,732,1345,1387;;;
;;635,677,1547,1595;;;;1600,1693;;226,252,290,315,524,566,573,642,1141,1227,1378,1434,1457,1502;200,213,718,746,1646,1681;788,819,1051,1095,1566,1610;;220,232,1527,1575;
;;9,52,1614,1633;;0,26,825,868;;0,40,1071,1132;226,248,289,315,523,566,573,642,1141,1227,1377,1433,1456,1501;;;317,350;;;
;;;;1236,1285;;;199,213,717,745,1646,1681;;;216,260,913,942,1727,1764;378,487,1325,1461;168,203,872,1013,1140,1184,1690,1714;
;;278,322,982,1001,1533,1666;;992,1007,1177,1216,1470,1513;;483,525,688,731,1344,1386;787,819,1050,1095,1566,1610;316,350;215,259,913,942,1726,1764;;;252,261,420,440,1095,1118,1772,1787;
;57,119,852,914,1023,1085,1818;;;;;;;;375,487,1323,1461;;;323,352,1725,1762;
;;376,422,1223,1277,1542,1583;612,655,703,748;370,429,644,761;43,83,641,688,1298,1476;;220,231,1527,1574;;168,203,871,1012,1139,1184,1690,1713;251,261,419,439,1095,1117,1772,1787;320,352,1725,1761;;
