;;;;;;;91,294,469;;;;157,274,583;;
;;;0,91,642;;;;;338,395;;160,256,301,397;;;
;;;;;;204,220;;134,177;501,526;563;321,442;317,335;
;0,67,664;;;;;;;;525,586;96,147;;197,209;
;;;;;;;;;;392,442;;573,615;
;;;;;;;;;145,180;;;;
;;203,220;;;;;;;;;100,163;414,439;
112,271,490,649;;;;;;;;;;;198,263,600,660;0,41,391,420;
;;134,176;;;;;;;0,30,190,261;309,360;;543,589;
;;500,526;524,585;;145,180;;;0,28,189,262;;486,501;;278,313,640;
;;562;96,146;392,442;;;;309,359;485,500;;;;
178,251,604;;320,441;;;;99,163;197,262,600,660;;;;;;
;;317,334;196,208;573,614;;413,438;0,40,390,420;542,589;277,312,639;;;;
