;;;;288,423,992,1127,1696,1831;;;;
;;;;;;;239,322,793,876,1347,1430,1901;
;;;;0,137,573,827,1358,1402,1462,1507,1534,1539;22,71,289,369,680,738,1616,1667;;1514,1518;
;;;;165,288,430,473,875,1010,1187,1229,1608,1653,1900;;87,131,161,203,331,444,614,655,685,730,860,969,1141,1255,1407,1493,1670,1779;;
311,398,1015,1102,1719,1806;;0,137,571,827,1357,1401,1461,1507;165,287,430,472,875,1009,1187,1229,1607,1653,1900;;23,70,674,757;138,139,896,972,1170,1222,1239,1243;;
;;21,71,288,368,679,737,1616,1666;;22,70,673,756;;;;
;;;87,131,161,203,330,444,613,654,684,729,859,969,1141,1254,1405,1493,1670,1779;895,971,1169,1223,1238,1242;;;;
;261,298,815,852,1369,1406,1923;1514,1519;;;;;;
