;;;;;;482,599,862,979,1936,2053,2316,2433;;
;;;;;;;255,415,656,817,1316,1477,1718,1879,2378;
;;;;1150,1192,1972,1990,2156,2203;1199,1325,2209,2259;985,1004;;
;;;;;;39,82,1416,1433,1519,1566;133,175,860,961,1172,1203,2228,2232;
;;1147,1194,1971,1990,2156,2202;;;21,57,1268,1282;273,308,1082,1120,1158,1250,1271,1301,1765,1838;;
;;1198,1325,2209,2258;;21,57,1266,1281;;;809,880;
507,572,887,952,1961,2026,2341,2406;;983,1005;39,82,1417,1432,1518,1565;273,308,1081,1120,1154,1253,1271,1301,1766,1837;;;;
;311,391,678,758,1373,1453,1740,1820,2435;;133,174,860,961,1172,1202,2226,2232;;809,879;;;
