;;0,93,822,1001,1730;;;;;;
;;;;;;;31,168,783,920,975,1112,1727;
0,70,843,978,1751;;;;277,306,1129,1165,1651,1656;678,759,1493,1527,1626,1660;;;
;;;;181,215,813,849;127,182;363,403,1375,1415;;
;;276,305,1128,1164,1650,1656;181,215,812,849;;579,597,913,946,1591,1729;528,581,759,802;;
;;677,759,1492,1526,1625,1660;126,182;578,597,912,946,1590,1728;;197,253,570,611,1418,1458;1111,1157;
;;;363,402,1375,1415;527,580,758,802;197,252,569,610,1418,1458;;;
;63,101,107,127,822,842,848,886,1007,1045,1051,1071,1766;;;;1110,1157;;;
